Year	FF	LUC
1959	2.42	1.81
1960	2.55	1.65
1961	2.56	1.57
1962	2.65	1.53
1963	2.80	1.47
1964	2.94	1.41
1965	3.08	1.36
1966	3.22	1.32
1967	3.33	1.30
1968	3.51	1.29
1969	3.74	1.30
1970	4.05	1.27
1971	4.21	1.25
1972	4.41	1.22
1973	4.64	1.19
1974	4.62	1.16
1975	4.62	1.14
1976	4.86	1.12
1977	5.00	1.10
1978	5.18	1.07
1979	5.32	1.04
1980	5.29	1.08
1981	5.15	1.10
1982	5.11	1.12
1983	5.16	1.16
1984	5.31	1.20
1985	5.50	1.22
1986	5.58	1.25
1987	5.76	1.29
1988	5.98	1.31
1989	6.07	1.33
1990	6.20	1.31
1991	6.33	1.31
1992	6.13	1.32
1993	6.20	1.31
1994	6.24	1.31
1995	6.38	1.29
1996	6.58	1.27
1997	6.61	1.74
1998	6.59	1.19
1999	6.67	1.16
2000	6.87	1.34
2001	6.92	1.27
2002	7.07	1.46
2003	7.41	1.52
2004	7.76	1.48
2005	8.02	1.37
2006	8.29	1.42
2007	8.54	1.24
2008	8.73	1.30
2009	8.61	1.50
2010	9.05	1.38
2011	9.35	1.34
2012	9.50	1.47
2013	9.54	1.52
2014	9.61	1.66
2015	9.62	1.70
2016	9.66	1.54
2017	9.77	1.47
2018	9.98	1.51
